game_id,game_type,event,opponent_org,notes
2026-09-06_LadyDukesWPA2033_vs_LadyDukesWPABlue12U,scrimmage,,,
2026-09-06_LadyDukesWPABlue12U_vs_LadyDukesWPA2033,scrimmage,,,
